"National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"ABLA","ABBI3","FQA_SciName","Pinaceae","Abies bifolia A. Murray bis","Abies bifolia","Abies","bifolia",NA,"5",5,"Native","Ackerfield 2015","Abies lasiocarpa","Abies bifolia","Perennial"
"ABCO","ABCO","FQA_SciName","Pinaceae","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","Abies concolor","Abies","concolor",NA,"5",5,"Native","Ackerfield 2015","Abies concolor","Abies concolor","Perennial"
"ABEL","ABEL","FQA_SciName","Nyctaginaceae","Abronia elliptica A. Nelson","Abronia elliptica","Abronia","elliptica",NA,"4",4,"Native","Ackerfield 2015","Abronia elliptica","Abronia elliptica","Perennial"
"ABFR2","ABFR2","FQA_SciName","Nyctaginaceae","Abronia fragrans Nutt. ex Hook.","Abronia fragrans","Abronia","fragrans",NA,"6",6,"Native","Ackerfield 2015","Abronia fragrans","Abronia fragrans","Perennial"
"ABAR","ABAR","National_SciName","Nyctaginaceae","Abronia glabrifolia Standl.","Abronia glabrifolia","Abronia","glabrifolia",NA,"9",9,"Native","Ackerfield 2015","Abronia argillosa","Abronia glabrifolia","Perennial"
"ABNAN","ABNAN","FQA_SciName","Nyctaginaceae","Abronia nana S. Watson var. nana","Abronia nana var. nana","Abronia","nana","var. nana","9",9,"Native","Ackerfield 2015","Abronia nana var. nana","Abronia nana var. nana","Perennial"
"ABIN","ABIN","FQA_SciName","Malvaceae","Abutilon incanum (Link) Sweet","Abutilon incanum","Abutilon","incanum",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Abutilon incanum","Abutilon incanum","Perennial"
"ABPA3","ABPA3","FQA_SciName","Malvaceae","Abutilon parvulum A. Gray","Abutilon parvulum","Abutilon","parvulum",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Abutilon parvulum","Abutilon parvulum","Perennial"
"ABTH","ABTH","FQA_SciName","Malvaceae","Abutilon theophrasti Medik.","Abutilon theophrasti","Abutilon","theophrasti",NA,"0",0,"Non-native","Ackerfield 2015","Abutilon theophrasti","Abutilon theophrasti","Annual"
"ACGLG2","ACGLG2","FQA_SciName","Sapindaceae","Acer glabrum Torr. var. glabrum","Acer glabrum var. glabrum","Acer","glabrum","var. glabrum","7",7,"Native","Ackerfield 2015","Acer glabrum var. glabrum","Acer glabrum var. glabrum","Perennial"
"ACGRG","ACGRG","FQA_SciName","Sapindaceae","Acer grandidentatum Nutt. var. grandidentatum","Acer grandidentatum var. grandidentatum","Acer","grandidentatum","var. grandidentatum","10",10,"Native","Ackerfield 2015","Acer grandidentatum var. grandidentatum","Acer grandidentatum var. grandidentatum","Perennial"
"ACNE2","ACNE2","FQA_SciName","Sapindaceae","Acer negundo L.","Acer negundo","Acer","negundo",NA,"4",4,"Native","Ackerfield 2015","Acer negundo","Acer negundo","Perennial"
"ACNEI2","ACNEI2","FQA_SciName","Sapindaceae","Acer negundo L. var. interius (Britton) Sarg.","Acer negundo var. interius","Acer","negundo","var. interius","4",4,"Native","Ackerfield 2015","Acer negundo var. interius","Acer negundo var. interius","Perennial"
"ACNEV","ACNEV","FQA_SciName","Sapindaceae","Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger","Acer negundo var. violaceum","Acer","negundo","var. violaceum","4",4,"Native","Ackerfield 2015","Acer negundo var. violaceum","Acer negundo var. violaceum","Perennial"
"ACFI","ACFI","FQA_SciName","Asteraceae","Achillea filipendulina Lam.","Achillea filipendulina","Achillea","filipendulina",NA,"0",0,"Non-native","Ackerfield 2015","Achillea filipendulina","Achillea filipendulina","Perennial"
"ACMI2","ACMI2","FQA_SciName","Asteraceae","Achillea millefolium L.","Achillea millefolium","Achillea","millefolium",NA,"4",4,"Native","Ackerfield 2015","Achillea millefolium","Achillea millefolium","Perennial"
"ACPT","ACPT","FQA_SciName","Asteraceae","Achillea ptarmica L.","Achillea ptarmica","Achillea","ptarmica",NA,"0",0,"Non-native","Ackerfield 2015","Achillea ptarmica","Achillea ptarmica","Perennial"
"ACBL","ACBL","FQA_SciName","Poaceae","Achnatherum ×bloomeri (Bol.) Barkworth","Achnatherum ×bloomeri","Achnatherum","×bloomeri",NA,"10",10,"Native","Ackerfield 2015","Achnatherum ×bloomeri","Achnatherum ×bloomeri","Perennial"
"ACAR14","ACAR14","FQA_SciName","Poaceae","Achnatherum aridum (M.E. Jones) Barkworth","Achnatherum aridum","Achnatherum","aridum",NA,"7",7,"Native","Ackerfield 2015","Achnatherum aridum","Achnatherum aridum","Perennial"
"ACHY","ACHY","FQA_SciName","Poaceae","Achnatherum hymenoides (Roem. & Schult.) Barkworth","Achnatherum hymenoides","Achnatherum","hymenoides",NA,"5",5,"Native","Ackerfield 2015","Achnatherum hymenoides","Achnatherum hymenoides","Perennial"
"ACLE9","ACLE9","FQA_SciName","Poaceae","Achnatherum lettermanii (Vasey) Barkworth","Achnatherum lettermanii","Achnatherum","lettermanii",NA,"6",6,"Native","Ackerfield 2015","Achnatherum lettermanii","Achnatherum lettermanii","Perennial"
"ACNE9","ACNE9","FQA_SciName","Poaceae","Achnatherum nelsonii (Scribn.) Barkworth","Achnatherum nelsonii","Achnatherum","nelsonii",NA,"6",6,"Native","Ackerfield 2015","Achnatherum nelsonii","Achnatherum nelsonii","Perennial"
"ACPE13","ACPE13","FQA_SciName","Poaceae","Achnatherum perplexum Hoge & Barkworth","Achnatherum perplexum","Achnatherum","perplexum",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Achnatherum perplexum","Achnatherum perplexum","Perennial"
"ACPI2","ACPI2","FQA_SciName","Poaceae","Achnatherum pinetorum (M.E. Jones) Barkworth","Achnatherum pinetorum","Achnatherum","pinetorum",NA,"6",6,"Native","Ackerfield 2015","Achnatherum pinetorum","Achnatherum pinetorum","Perennial"
"ACRI8","ACRI8","FQA_SciName","Poaceae","Achnatherum richardsonii (Link) Barkworth","Achnatherum richardsonii","Achnatherum","richardsonii",NA,"6",6,"Native","Ackerfield 2015","Achnatherum richardsonii","Achnatherum richardsonii","Perennial"
"ACRO7","ACRO7","FQA_SciName","Poaceae","Achnatherum robustum (Vasey) Barkworth","Achnatherum robustum","Achnatherum","robustum",NA,"3",3,"Native","Ackerfield 2015","Achnatherum robustum","Achnatherum robustum","Perennial"
"ACSC11","ACSC11","FQA_SciName","Poaceae","Achnatherum scribneri (Vasey) Barkworth","Achnatherum scribneri","Achnatherum","scribneri",NA,"7",7,"Native","Ackerfield 2015","Achnatherum scribneri","Achnatherum scribneri","Perennial"
"ACWE3","ACWE3","FQA_SciName","Poaceae","Achnatherum webberi (Thurb.) Barkworth","Achnatherum webberi","Achnatherum","webberi",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Achnatherum webberi","Achnatherum webberi","Perennial"
"ACCO4","ACCO4","FQA_SciName","Ranunculaceae","Aconitum columbianum Nutt.","Aconitum columbianum","Aconitum","columbianum",NA,"8",8,"Native","Ackerfield 2015","Aconitum columbianum","Aconitum columbianum","Perennial"
"ACCA4","ACCA4","FQA_SciName","Acoraceae","Acorus calamus L.","Acorus calamus","Acorus","calamus",NA,"5",5,"Native","Ackerfield 2015","Acorus calamus","Acorus calamus","Perennial"
"ACRE3","ACRE3","FQA_SciName","Asteraceae","Acroptilon repens (L.) DC.","Acroptilon repens","Acroptilon","repens",NA,"0",0,"Non-native","Ackerfield 2015","Acroptilon repens","Acroptilon repens","Perennial"
"ACRU2","ACRU2","FQA_SciName","Ranunculaceae","Actaea rubra (Aiton) Willd.","Actaea rubra","Actaea","rubra",NA,"9",9,"Native","Ackerfield 2015","Actaea rubra","Actaea rubra","Perennial"
"ADAL","ADAL","FQA_SciName","Pteridaceae","Adiantum aleuticum (Rupr.) Paris","Adiantum aleuticum","Adiantum","aleuticum",NA,"8",8,"Native","Ackerfield 2015","Adiantum aleuticum","Adiantum aleuticum","Perennial"
"ADCA","ADCA","FQA_SciName","Pteridaceae","Adiantum capillus-veneris L.","Adiantum capillus-veneris","Adiantum","capillus-veneris",NA,"9",9,"Native","Ackerfield 2015","Adiantum capillus-veneris","Adiantum capillus-veneris","Perennial"
"ADMO","ADMO","FQA_SciName","Adoxaceae","Adoxa moschatellina L.","Adoxa moschatellina","Adoxa","moschatellina",NA,"10",10,"Native","Ackerfield 2015","Adoxa moschatellina","Adoxa moschatellina","Perennial"
"AECY","AECY","FQA_SciName","Poaceae","Aegilops cylindrica Host","Aegilops cylindrica","Aegilops","cylindrica",NA,"0",0,"Non-native","Ackerfield 2015","Aegilops cylindrica","Aegilops cylindrica","Annual"
"AGTEP2","AGTEP2","FQA_SciName","Orobanchaceae","Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell","Agalinis tenuifolia var. parviflora","Agalinis","tenuifolia","var. parviflora","10",10,"Native","Ackerfield 2015","Agalinis tenuifolia var. parviflora","Agalinis tenuifolia var. parviflora","Annual"
"AGFO","AGFO","FQA_SciName","Lamiaceae","Agastache foeniculum (Pursh) Kuntze","Agastache foeniculum","Agastache","foeniculum",NA,"3",3,"Native","Ackerfield 2015","Agastache foeniculum","Agastache foeniculum","Perennial"
"AGPA","AGPA","FQA_SciName","Lamiaceae","Agastache pallidiflora (A. Heller) Rydb","Agastache pallidiflora","Agastache","pallidiflora",NA,"5",5,"Native","Ackerfield 2015","Agastache pallidiflora","Agastache pallidiflora","Perennial"
