"ECO.SITE","STATE","PHASE","PHASE.NAME","SYMBOL","LOWER","UPPER","NATIVITY","FUNCTIONAL_FINE","LIFECYCLE","FUNCTIONAL"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","ACHY",30,120,"NATIVE","C3-GRASS","PERENNIAL","GRASS"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","PLJA",60,120,"NATIVE","C4-GRASS","PERENNIAL","GRASS"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","HENE5",0,90,"NATIVE","C3-GRASS","PERENNIAL","GRASS"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","BOGR2",30,60,"NATIVE","C4-GRASS","PERENNIAL","GRASS"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","ELELE",30,60,"NATIVE","C3-GRASS","PERENNIAL","GRASS"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","PASM",12,30,"NATIVE","C3-GRASS","PERENNIAL","GRASS"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SPCR",12,30,"NATIVE","C4-GRASS","PERENNIAL","GRASS"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","ARPUL",12,30,"NATIVE","C4-GRASS","PERENNIAL","GRASS"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","ARTRW8",100,200,"NATIVE","NON-RESPROUT-SHRUB","PERENNIAL","SHRUB"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","ATCA2",12,30,"NATIVE","RESPROUT-SHRUB","PERENNIAL","SHRUB"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GUSA2",0,30,"NATIVE","NON-RESPROUT-SHRUB","PERENNIAL","SHRUB"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","ATCO",0,15,"NATIVE","NON-RESPROUT-SHRUB","PERENNIAL","SHRUB"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","CHVI8",0,12,"NATIVE","RESPROUT-SHRUB","PERENNIAL","SHRUB"
"R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","EPCU",0,12,"NATIVE","NON-RESPROUT-SHRUB","PERENNIAL","SHRUB"
