"Reclassified","Original","n"
1,1,27061
1,2,41
1,3,39019
1,4,1480
1,5,40
1,6,130
1,7,1029
1,8,512
1,9,1181
2,1,7198
2,2,10
2,3,74593
2,4,250
2,5,293
2,6,3
2,7,846
2,8,704
2,9,60
3,1,209463
3,2,1184
3,3,166725
3,4,893539
3,5,2517
3,6,839600
3,7,232596
3,8,269275
3,9,766661
3,10,9151
4,1,65811
4,2,543705
4,3,235997
4,4,1151617
4,5,319935
4,6,14639655
4,7,316370
4,8,1450771
4,9,6419349
4,10,1513126
5,1,406
5,2,283010
5,3,910
5,4,457862
5,5,423885
5,6,702612
5,7,693
5,8,392317
5,9,1347338
5,10,4025752
6,1,9977
6,2,61495
6,3,6013
6,4,384341
6,5,21703
6,6,326541
6,7,29159
6,8,47057
6,9,1747025
6,10,224895
