"SYMBOL","BINOMIAL_NAT","BINOMIAL_ACKER","DURATION","NATIVITY"
"ABLA","Abies lasiocarpa","Abies bifolia","Perennial","Native"
"ABCO","Abies concolor","Abies concolor","Perennial","Native"
"ABEL","Abronia elliptica","Abronia elliptica","Perennial","Native"
"ABFR2","Abronia fragrans","Abronia fragrans","Perennial","Native"
"ABAR","Abronia argillosa","Abronia glabrifolia","Perennial","Native"
"ABNAN","Abronia nana var. nana","Abronia nana var. nana","Perennial","Native"
"ABIN","Abutilon incanum","Abutilon incanum","Perennial","Native"
"ABPA3","Abutilon parvulum","Abutilon parvulum","Perennial","Native"
"ABTH","Abutilon theophrasti","Abutilon theophrasti","Annual","Introduced"
"ACGLG2","Acer glabrum var. glabrum","Acer glabrum var. glabrum","Perennial","Native"
"ACGRG","Acer grandidentatum var. grandidentatum","Acer grandidentatum var. grandidentatum","Perennial","Native"
"ACNE2","Acer negundo","Acer negundo","Perennial","Native"
"ACNEI2","Acer negundo var. interius","Acer negundo var. interius","Perennial","Native"
"ACNEV","Acer negundo var. violaceum","Acer negundo var. violaceum","Perennial","Native"
"ACFI","Achillea filipendulina","Achillea filipendulina","Perennial","Introduced"
"ACMI2","Achillea millefolium","Achillea millefolium","Perennial","Both"
"ACPT","Achillea ptarmica","Achillea ptarmica","Perennial","Introduced"
"ACBL","Achnatherum ×bloomeri","Achnatherum ×bloomeri","Perennial","Native"
"ACAR14","Achnatherum aridum","Achnatherum aridum","Perennial","Native"
"ACHY","Achnatherum hymenoides","Achnatherum hymenoides","Perennial","Native"
"ACLE9","Achnatherum lettermanii","Achnatherum lettermanii","Perennial","Native"
"ACNE9","Achnatherum nelsonii","Achnatherum nelsonii","Perennial","Native"
"ACPE13","Achnatherum perplexum","Achnatherum perplexum","Perennial","Native"
"ACPI2","Achnatherum pinetorum","Achnatherum pinetorum","Perennial","Native"
"ACRI8","Achnatherum richardsonii","Achnatherum richardsonii","Perennial","Native"
"ACRO7","Achnatherum robustum","Achnatherum robustum","Perennial","Native"
"ACSC11","Achnatherum scribneri","Achnatherum scribneri","Perennial","Native"
"ACWE3","Achnatherum webberi","Achnatherum webberi","Perennial","Native"
"ACCO4","Aconitum columbianum","Aconitum columbianum","Perennial","Native"
"ACCA4","Acorus calamus","Acorus calamus","Perennial","Introduced"
"ACRE3","Acroptilon repens","Acroptilon repens","Perennial","Introduced"
"ACRU2","Actaea rubra","Actaea rubra","Perennial","Native"
"ADAL","Adiantum aleuticum","Adiantum aleuticum","Perennial","Native"
"ADCA","Adiantum capillus-veneris","Adiantum capillus-veneris","Perennial","Native"
"ADMO","Adoxa moschatellina","Adoxa moschatellina","Perennial","Native"
"AECY","Aegilops cylindrica","Aegilops cylindrica","Annual","Introduced"
"AGTEP2","Agalinis tenuifolia var. parviflora","Agalinis tenuifolia var. parviflora","Annual","Native"
"AGFO","Agastache foeniculum","Agastache foeniculum","Perennial","Native"
"AGPA","Agastache pallidiflora","Agastache pallidiflora","Perennial","Native"
"AGUR","Agastache urticifolia","Agastache urticifolia","Perennial","Native"
"AGHE5","Ageratina herbacea","Ageratina herbacea","Perennial","Native"
"AGAU2","Agoseris aurantiaca","Agoseris aurantiaca","Perennial","Native"
"AGAUA","Agoseris aurantiaca var. aurantiaca","Agoseris aurantiaca var. aurantiaca","Perennial","Native"
"AGAUP","Agoseris aurantiaca var. purpurea","Agoseris aurantiaca var. purpurea","Perennial","Native"
"AGGL","Agoseris glauca","Agoseris glauca","Perennial","Native"
"AGGLD","Agoseris glauca var. dasycephala","Agoseris glauca var. dasycephala","Perennial","Native"
"AGGLG","Agoseris glauca var. glauca","Agoseris glauca var. glauca","Perennial","Native"
"AGHEH","Agoseris heterophylla var. heterophylla","Agoseris heterophylla var. heterophylla","Annual","Native"
"AGGLL","Agoseris glauca var. laciniata","Agoseris parviflora","Perennial","Native"
"AGST","Agrimonia striata","Agrimonia striata","Perennial","Native"
"AGCR","Agropyron cristatum","Agropyron cristatum","Perennial","Introduced"
"AGFR","Agropyron fragile","Agropyron fragile","Perennial","Introduced"
"AGGI","Agrostemma githago","Agrostemma githago","Annual","Introduced"
"AGEX","Agrostis exarata","Agrostis exarata","Perennial","Native"
"AGGI2","Agrostis gigantea","Agrostis gigantea","Perennial","Introduced"
