"","GNAME","SNAME","SCOMNAME","GRANK","SRANK","ENDEMIC","USESA","BLM_RANK","National_USDASymbol","FQA_SciName_noAuthority","National_SciName_noAuthority"
"1","Abronia nana var. nana","Abronia nana var. nana","Dwarf Sand Verbena","G4T3T4","S1","N",NA,FALSE,"ABNAN","Abronia nana var. nana",NA
"2","Abutilon incanum","Abutilon incanum","Hoary Mallow","G5?","SH","N",NA,FALSE,"ABIN","Abutilon incanum",NA
"3","Acorus calamus","Acorus calamus","Sweet Flag","G4?","S1","N",NA,FALSE,"ACCA4","Acorus calamus",NA
"4","Adiantum aleuticum","Adiantum aleuticum","Aleutian Maidenhair Fern","G5?","S1","N",NA,FALSE,"ADAL","Adiantum aleuticum",NA
"5","Agastache foeniculum","Agastache foeniculum","Lavender Hyssop","G5","S2","N",NA,FALSE,"AGFO","Agastache foeniculum",NA
"6","Aletes anisatus","Aletes anisatus","Rocky Mountain Aletes","G3G4","S3S4","Y",NA,FALSE,"ALAN3","Cymopterus anisatus",NA
"7","Aletes humilis","Aletes humilis","Larimer Aletes","G2G3","S2S3","Y",NA,FALSE,"ALHU","Aletes humilis",NA
"8","Aletes macdougalii ssp. breviradiatus","Aletes macdougalii ssp. breviradiatus","Mesa Verde Aletes","G3T2T3","S1","N",NA,FALSE,"ALMAB","Aletes macdougalii ssp. breviradiatus",NA
"9","Aletes sessiliflorus","Aletes sessiliflorus","New Mexico False Carrot","G3","S1","N",NA,FALSE,"ALSE5","Cymopterus sessiliflorus",NA
"10","Aliciella sedifolia","Aliciella sedifolia","Stonecrop Gilia","G1","S1","Y",NA,FALSE,"ALSE11","Aliciella sedifolia",NA
"11","Allionia incarnata","Allionia incarnata","Trailing Windmills","G5","S2","N",NA,FALSE,"ALIN","Allionia incarnata",NA
"12","Allium nevadense","Allium nevadense","Nevada Onion","G4","S2","N",NA,FALSE,"ALNE","Allium nevadense",NA
"13","Allium schoenoprasum","Allium schoenoprasum","Wild Chives","G5","S1","N",NA,FALSE,"ALSCS","Allium schoenoprasum",NA
"14","Alopecurus carolinianus","Alopecurus carolinianus","Carolina Foxtail","G5","S1","N",NA,FALSE,"ALCA4","Alopecurus carolinianus",NA
"15","Amaranthus wrightii","Amaranthus wrightii","Wright's Amaranth","G5","S1","N",NA,FALSE,"AMWR","Amaranthus wrightii",NA
"16","Ambrosia linearis","Ambrosia linearis","Plains Ragweed","G3","S3","Y",NA,FALSE,"AMLI3","Ambrosia linearis",NA
"17","Ammannia robusta","Ammannia robusta","Grand Redstem","G5","S2","N",NA,FALSE,"AMRO3","Ammannia robusta",NA
"18","Amorpha nana","Amorpha nana","Dwarf Wild Indigo","G5","S2","N",NA,FALSE,"AMNA","Amorpha nana",NA
"19","Amsonia jonesii","Amsonia jonesii","Jones Blue Star","G4","S2","N",NA,TRUE,"AMJO","Amsonia jonesii",NA
"20","Anagallis minima","Anagallis minima","Chaffweed","G5","S1","N",NA,FALSE,"ANMI4","Anagallis minima",NA
"21","Anemone virginiana var. cylindroidea","Anemone virginiana var. cylindroidea","Tall Thimbleweed","G5T4T5","S1","N",NA,FALSE,"ANVIC","Anemone virginiana var. cylindroidea",NA
"22","Apios americana","Apios americana","American Groundnut","G5","S1","N",NA,FALSE,"APAM","Apios americana",NA
"23","Aquilegia saximontana","Aquilegia saximontana","Rocky Mountain Columbine","G3","S3","Y",NA,FALSE,"AQSA","Aquilegia saximontana",NA
"24","Aralia racemosa ssp. bicrenata","Aralia racemosa ssp. bicrenata","American Spikenard","G5T3T5Q","S1","N",NA,FALSE,"ARRAB2","Aralia racemosa ssp. bicrenata",NA
"25","Argyrochosma fendleri","Argyrochosma fendleri","Fendler Cloak- fern","G3","S3","N",NA,FALSE,"ARFE5","Argyrochosma fendleri",NA
"26","Argythamnia humilis","Argythamnia humilis","Low Silverbush","G5","S2","N",NA,FALSE,"ARHU5","Argythamnia humilis",NA
"27","Aristida basiramea","Aristida basiramea","Forktip Threeawn","G5","S2","N",NA,FALSE,"ARBA2","Aristida basiramea",NA
"28","Aristida havardii","Aristida havardii","Havard's Threeawn","G5","S1","N",NA,FALSE,"ARHA3","Aristida havardii",NA
"29","Aristida purpurea var. wrightii","Aristida purpurea var. wrightii","Wright's Threeawn","G5TNR","S1","N",NA,FALSE,"ARPUW","Aristida purpurea var. wrightii",NA
"30","Artemisia parryi","Artemisia parryi","Parry's Wormwood","G3","S3","N",NA,FALSE,"ARPA17","Artemisia parryi",NA
"31","Artemisia pattersonii","Artemisia pattersonii","Patterson's Wormwood","G3G4","S2S3","N",NA,FALSE,"ARPA18","Artemisia pattersonii",NA
"32","Asclepias hallii","Asclepias hallii","Hall's Milkweed","G3","S3","N",NA,FALSE,"ASHA6","Asclepias hallii",NA
"33","Asclepias involucrata","Asclepias involucrata","Dwarf Milkweed","G5","S1","N",NA,FALSE,"ASIN14","Asclepias involucrata",NA
"34","Asclepias involucrata","Asclepias involucrata","Dwarf Milkweed","G5","S1","N",NA,FALSE,"ASIN14","Asclepias macrosperma",NA
"35","Asclepias macrotis","Asclepias macrotis","Long- hood Milkweed","G4","S2","N",NA,FALSE,"ASMA","Asclepias macrotis",NA
"36","Asclepias oenotheroides","Asclepias oenotheroides","Zizotes Milkweed","G4G5","S1","N",NA,FALSE,"ASOE","Asclepias oenotheroides",NA
"37","Asclepias stenophylla","Asclepias stenophylla","Narrow- leaved Milkweed","G4G5","S2","N",NA,FALSE,"ASST","Asclepias stenophylla",NA
"38","Asplenium platyneuron","Asplenium platyneuron","Ebony Spleenwort","G5","S1","N",NA,FALSE,"ASPL","Asplenium platyneuron",NA
"39","Asplenium resiliens","Asplenium resiliens","Black- stemmed Spleenwort","G5","S1","N",NA,FALSE,"ASRE","Asplenium resiliens",NA
"40","Asplenium septentrionale","Asplenium septentrionale","Grass- fern","G5","S3S4","N",NA,FALSE,"ASSE","Asplenium septentrionale",NA
"41","Aster alpinus var. vierhapperi","Aster alpinus var. vierhapperi","Alpine Aster","G5T5","S1","N",NA,FALSE,"ASALV","Aster alpinus var. vierhapperi",NA
"42","Astragalus albulus","Astragalus albulus","Cibola Milkvetch","G3G4","S1","N",NA,FALSE,"ASAL5","Astragalus albulus",NA
"43","Astragalus americanus","Astragalus americanus","American Milkvetch","G5","SH","N",NA,FALSE,"ASAM3","Astragalus americanus",NA
"44","Astragalus anisus","Astragalus anisus","Gunnison Milkvetch","G2G3","S3","Y",NA,TRUE,"ASAN4","Astragalus anisus",NA
"45","Astragalus argophyllus var. martinii","Astragalus argophyllus var. martinii","Meadow Milkvetch","G5T4","S2","N",NA,FALSE,"ASARM","Astragalus argophyllus var. martinii",NA
