SYMBOL_AIM,SYMBOL_USDA,BINOMIAL_NAT,BINOMIAL_ACK,GROWTHHABIT,GROWTHHABITSUB,DURATION,NATIVITY,INVASIVE,PHOTOSYNTHETIC,RESPROUT,FUNCTIONAL
ACRE3,ACRE3,Acroptilon repens,Acroptilon repens,NONWOODY,FORB,PERENNIAL,NA,TRUE,NA,NA,NoxPerenForbCover 
TARA,TACH,Tamarix chinensis,Tamarix chinensis,WOODY,SHRUB,PERENNIAL,NA,TRUE,NA,NA,NoxShrubCover 
TACH2,TACH,Tamarix chinensis,Tamarix chinensis,WOODY,SHRUB,PERENNIAL,NA,TRUE,NA,NA,NoxShrubCover 
BASC5,BASC5,Bassia scoparia,Kochia scoparia,NONWOODY,FORB,ANNUAL,NA,TRUE,NA,NA,NoxAnnForbCover 
PEPA8,PEPA8,Penstemon palmeri,Penstemon palmeri,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
KOAM,BAAM4,Bassia americana,Kochia americana,WOODY,SUBSHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxSubShrubCover 
SYRO,SYRO,Symphoricarpos rotundifolius,Symphoricarpos rotundifolius,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,RESPROUT,NonNoxShrubCover 
PERA4,PERA4,Peraphyllum ramosissimum,Peraphyllum ramosissimum,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NON-RESPROUT,NonNoxShrubCover 
EREA,EREAE,Erigeron eatonii var. eatonii,Erigeron eatonii var. eatonii,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
PECO5,PECO5,Penstemon comarrhenus,Penstemon comarrhenus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
TAOF,TAOF,Taraxacum officinale,Taraxacum officinale,NONWOODY,FORB,PERENNIAL,NA,TRUE,NA,NA,NoxPerenForbCover 
THEL,THEL,Thelypodiopsis elegans,Thelypodiopsis elegans,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
PHLO2,PHLO2,Phlox longifolia,Phlox longifolia,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
LUAR3,LUAR3,Lupinus argenteus,Lupinus argenteus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
HEFO9,HEVIF,Heterotheca villosa var. foliosa,Heterotheca foliosa,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
ASAM5,ASAMV,Astragalus amphioxys var. vespertinus,Astragalus amphioxys var. vespertinus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
LECI4,LECI4,Leymus cinereus,Leymus cinereus,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
ACLE9,ACLE9,Achnatherum lettermanii,Achnatherum lettermanii,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
THIN,THIN,Thelypodium integrifolium,Thelypodium integrifolium,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
COUM,COUMP,Comandra umbellata ssp. pallida,Comandra umbellata ssp. pallida,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
COUMP,COUMP,Comandra umbellata ssp. pallida,Comandra umbellata ssp. pallida,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
PECY4,PECY4,Penstemon cyanocaulis,Penstemon cyanocaulis,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
LALA3,LALAA,Lathyrus lanszwertii,Lathyrus lanszwertii,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
ERSP4,ERSP4,Erigeron speciosus,Erigeron speciosus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
CRAC2,CRAC2,Crepis acuminata,Crepis acuminata,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
ASMO7,ASMO7,Astragalus mollissimus,Astragalus mollissimus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
YUBA2,YUBA,Yucca baccata,Yucca baccata var. baccata,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxShrubCover 
ARCO9,ARCO9,Arnica cordifolia,Arnica cordifolia,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
VACE,VACE,Vaccinium cespitosum,Vaccinium cespitosum,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxShrubCover 
ABLA,ABLA,Abies lasiocarpa,Abies bifolia,WOODY,TREE,PERENNIAL,NA,FALSE,NA,NA,NonNoxTreeCover 
PERA,PERAA,Pedicularis racemosa ssp. alba,Pedicularis racemosa ssp. alba,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
KOMA,KOMA,Koeleria macrantha,Koeleria macrantha,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
GABI,GABI,Galium bifolium,Galium bifolium,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
GOOB2,GOOB2,Goodyera oblongifolia,Goodyera oblongifolia,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
LEPE2,LEPE2,Lepidium perfoliatum,Lepidium perfoliatum,NONWOODY,FORB,ANNUAL,NA,TRUE,NA,NA,NoxAnnForbCover 
COVI9,ESVIV,Escobaria vivipara var. vivipara,Coryphantha vivipara,WOODY,SUCCULENT,PERENNIAL,NA,FALSE,NA,NA,NonNoxSucculentCover 
ORLO,CRLO6,Cryptantha longiflora,Oreocarya longiflora,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
DRAU,DRAU,Draba aurea,Draba aurea,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
SONE,SONEL,Solidago nemoralis var. longipetiolata,Solidago nemoralis var. decemflora,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
BRAN,BRPO2,Bromus porteri,Bromus porteri,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
ALTE,ALTE,Allium textile,Allium textile,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
COPA3,COPA3,Collinsia parviflora,Collinsia parviflora,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
PEEA,PEEA,Penstemon eatonii,Penstemon eatonii,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
BOFE,ARFE,Arabis fendleri,Boechera fendleri,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
PSSP,PSSP,NA,NA,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
BRRA2,BRRA2,Bromus racemosus,Bromus commutatus,NONWOODY,GRAMINOID,ANNUAL,NA,TRUE,C3,NA,NoxAnnGrassCover 
BRRA2,BRRA2,Bromus racemosus,Bromus commutatus,NONWOODY,GRAMINOID,ANNUAL,NA,FALSE,C3,NA,NonNoxAnnGrassCover 
HEMU3,HEMU3,Heliomeris multiflora,Heliomeris multiflora,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
ERMIS2,ERMIS2,Eriogonum microthecum var. simpsonii,Eriogonum microthecum var. simpsonii,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxShrubCover 
ERMI4,ERMI4,Eriogonum microthecum,Eriogonum microthecum,WOODY,SUBSHRUB,PERENNIAL,NA,FALSE,NA,RESPROUT,NonNoxSubShrubCover 
LUSE4,LUSES2,Lupinus sericeus ssp. sericeus,Lupinus sericeus var. sericeus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
ASPA14,ASPA14,Astragalus pattersonii,Astragalus pattersonii,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
SIAL11,ALPE4,Alliaria petiolata,Alliaria petiolata,NONWOODY,FORB,ANNUAL,NA,TRUE,NA,NA,NoxAnnForbCover 
LIPO,LIPO,Ligusticum porteri,Ligusticum porteri,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
BRMA4,BRCA5,Bromus carinatus,Bromus carinatus,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
CODI4,CODI4,Commelina dianthifolia,Commelina dianthifolia,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
GABO2,GABO2,Galium boreale,Galium boreale,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
THFE,THFE,Thalictrum fendleri,Thalictrum fendleri,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
HEMUM,HEMUM,Heliomeris multiflora var. multiflora,Heliomeris multiflora var. multiflora,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,RESPROUT,NonNoxPerenForbCover 
ACNE9,ACNEN2,Achnatherum nelsonii,Achnatherum nelsonii,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
POTR5,POTR5,Populus tremuloides,Populus tremuloides,WOODY,TREE,PERENNIAL,NA,FALSE,NA,NA,NonNoxTreeCover 
AQCO,AQCO,Aquilegia coerulea,Aquilegia coerulea,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
CYOF,CYOF,Cynoglossum officinale,Cynoglossum officinale,NONWOODY,FORB,PERENNIAL,NA,TRUE,NA,NA,NoxPerenForbCover 
GERI,GERI,Geranium richardsonii,Geranium richardsonii,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
PEPR7,PEPR7,Pedicularis procera,Pedicularis procera,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
MOFI,MOFIM2,Monarda fistulosa ssp. fistulosa var. menthifolia,Monarda fistulosa var. menthifolia,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
LUPOP5,LUPR2,Lupinus prunophilus,Lupinus polyphyllus var. prunophilus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
AGRU,AGRU,NA,NA,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
PHPR3,PHPR3,Phleum pratense,Phleum pratense,NONWOODY,GRAMINOID,PERENNIAL,NA,TRUE,C3,NA,NoxPerenGrassCover 
KRLA,KRLA,Krameria lanceolata,Krameria lanceolata,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
ERLO4,ERLO4,Eriogonum lonchophyllum,Eriogonum lonchophyllum,WOODY,SUBSHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxSubShrubCover 
ERVI22,CHVIV2,Chrysothamnus viscidiflorus ssp. viscidiflorus,Chrysothamnus viscidiflorus var. viscidiflorus,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxShrubCover 
ELCA4,ELCA4,Elymus canadensis,Elymus canadensis,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
ERJA,ERJAJ,Eriogonum jamesii var. jamesii,Eriogonum jamesii var. jamesii,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
LASQ,LASQ,Lappula squarrosa,Lappula squarrosa,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
CHFR3,CHFR3,Chenopodium fremontii,Chenopodium fremontii,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
CYFE,CYACF,Cymopterus acaulis var. fendleri,Cymopterus fendleri,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
GIOP,GIOP,Gilia ophthalmoides,Gilia ophthalmoides,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
MEAL6,MEAL6,Mentzelia albicaulis,Mentzelia albicaulis,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
BRJA,BRAR5,Bromus arvensis,Bromus japonicus,NONWOODY,GRAMINOID,ANNUAL,NA,TRUE,NA,NA,NoxAnnGrassCover 
RATE,CETE5,Ceratocephala testiculata,Ranunculus testiculatus,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
FEAR2,FEAR2,Festuca arizonica,Festuca arizonica,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
CHRU,CHRU,Chenopodium rubrum,Chenopodium rubrum,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
CYMO,CYMO,Cymopterus montanus,Cymopterus montanus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
CHTE2,CHTE2,Chorispora tenella,Chorispora tenella,NONWOODY,FORB,ANNUAL,NA,TRUE,NA,NA,NoxAnnForbCover 
COAR4,COAR4,Convolvulus arvensis,Convolvulus arvensis,NONWOODY,FORB,PERENNIAL,NA,TRUE,NA,NA,NoxPerenForbCover 
HEBO,HEBO,Hedysarum boreale,Hedysarum boreale,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
CHST,CHST,Chaenactis stevioides,Chaenactis stevioides,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ASTE5,ASTE5,Astragalus tenellus,Astragalus tenellus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
HECOC8,HECO26,Hesperostipa comata ssp. Comata,Hesperostipa comata,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
HECO26,HECO26,Hesperostipa comata,Hesperostipa comata,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
LAOCC,LAOCC,Lappula occidentalis var. cupulata,Lappula occidentalis var. cupulata,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ERFO3,ERFO3,Erigeron formosissimus,Erigeron formosissimus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
PUST,PUST,Purshia stansburiana,Purshia stansburiana,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NON-RESPROUT,NonNoxShrubCover 
SUNI,SUMO,Suaeda moquinii,Suaeda nigra,WOODY,SUBSHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxSubShrubCover 
AGSC5,AGSC5,Agrostis scabra,Agrostis scabra,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
CHNA2,ERNA10,Ericameria nauseosa,Ericameria nauseosa,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxShrubCover 
CHCA4,CHCA4,Chenopodium capitatum,Chenopodium capitatum,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ARSP5,PIDE4,Picrothamnus desertorum,Artemisia spinescens,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxShrubCover 
CHAT,CHAT,Chenopodium atrovirens,Chenopodium atrovirens,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
