"SYMBOL","SYNONYM_SYMBOL","JOIN_SYMBOL","FULL_NAME","GENUS","SPECIES","FAMILY"
"ABAR",NA,"ABAR","Abronia argillosa S.L. Welsh & Goodrich","Abronia","argillosa","Nyctaginaceae"
"ABCA",NA,"ABCA","Abronia carletonii J.M. Coult. & Fisher","Abronia","carletonii","Nyctaginaceae"
"ABCO",NA,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","Abies","concolor","Pinaceae"
"ABCO","ABCOC","ABCOC","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor","Abies","concolor","Pinaceae"
"ABEL",NA,"ABEL","Abronia elliptica A. Nelson","Abronia","elliptica","Nyctaginaceae"
"ABEL","ABFRE2","ABFRE2","Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones","Abronia","fragrans","Nyctaginaceae"
"ABEL","ABPU2","ABPU2","Abronia pumila Rydb.","Abronia","pumila","Nyctaginaceae"
"ABEL","ABRA","ABRA","Abronia ramosa Standl.","Abronia","ramosa","Nyctaginaceae"
"ABEL","ABSA3","ABSA3","Abronia salsa Rydb.","Abronia","salsa","Nyctaginaceae"
"ABFR2",NA,"ABFR2","Abronia fragrans Nutt. ex Hook.","Abronia","fragrans","Nyctaginaceae"
"ABFR2","ABFRG2","ABFRG2","Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson","Abronia","fragrans","Nyctaginaceae"
"ABIES",NA,"ABIES","Abies Mill.","Abies","Mill","Pinaceae"
"ABIN",NA,"ABIN","Abutilon incanum (Link) Sweet","Abutilon","incanum","Malvaceae"
"ABIN","ABINI","ABINI","Abutilon incanum (Link) Sweet ssp. incanum","Abutilon","incanum","Malvaceae"
"ABIN","ABINP","ABINP","Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe","Abutilon","incanum","Malvaceae"
"ABIN","ABPR4","ABPR4","Abutilon pringlei Hochr.","Abutilon","pringlei","Malvaceae"
"ABLA",NA,"ABLA","Abies lasiocarpa (Hook.) Nutt.","Abies","lasiocarpa","Pinaceae"
"ABLAA",NA,"ABLAA","Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon","Abies","lasiocarpa","Pinaceae"
"ABLAA","ABAR2","ABAR2","Abies arizonica Merriam","Abies","arizonica","Pinaceae"
"ABLAL",NA,"ABLAL","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","Abies","lasiocarpa","Pinaceae"
"ABLAL","ABBAL","ABBAL","Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin","Abies","balsamea","Pinaceae"
"ABLAL","ABBAF","ABBAF","Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin","Abies","balsamea","Pinaceae"
"ABLAL","ABBI3","ABBI3","Abies bifolia A. Murray bis","Abies","bifolia","Pinaceae"
"ABLAL","ABLAB","ABLAB","Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba","Abies","lasiocarpa","Pinaceae"
"ABLAL","ABLAB2","ABLAB2","Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.","Abies","lasiocarpa","Pinaceae"
"ABLAL","ABSU","ABSU","Abies subalpina Engelmann","Abies","subalpina","Pinaceae"
"ABNA",NA,"ABNA","Abronia nana S. Watson","Abronia","nana","Nyctaginaceae"
"ABNAN",NA,"ABNAN","Abronia nana S. Watson var. nana","Abronia","nana","Nyctaginaceae"
"ABNAN","ABNAL","ABNAL","Abronia nana S. Watson var. lanciformis M.E. Jones","Abronia","nana","Nyctaginaceae"
"ABPA3",NA,"ABPA3","Abutilon parvulum A. Gray","Abutilon","parvulum","Malvaceae"
"ABRON",NA,"ABRON","Abronia Juss.","Abronia","Juss","Nyctaginaceae"
"ABTH",NA,"ABTH","Abutilon theophrasti Medik.","Abutilon","theophrasti","Malvaceae"
"ABTH","ABAB3","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","Abutilon","abutilon","Malvaceae"
"ABTH","ABAV","ABAV","Abutilon avicennae Gaertn.","Abutilon","avicennae","Malvaceae"
"ABUTI",NA,"ABUTI","Abutilon Mill.","Abutilon","Mill","Malvaceae"
"ACAR14",NA,"ACAR14","Achnatherum aridum (M.E. Jones) Barkworth","Achnatherum","aridum","Poaceae"
"ACAR14","STAR2","STAR2","Stipa arida M.E. Jones","Stipa","arida","Poaceae"
"ACARO2",NA,"ACARO2","Acarospora A. Massal.","Acarospora","A","Acarosporaceae"
"ACBL",NA,"ACBL","Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]","Achnatherum","bloomeri","Poaceae"
"ACBL","ORBL","ORBL","Oryzopsis bloomeri (Bol.) Ricker","Oryzopsis","bloomeri","Poaceae"
"ACBL","STBL4","STBL4","Stipa bloomeri Bol.","Stipa","bloomeri","Poaceae"
