ID,FQA_USDASymbol,FQA_USDASymbolOrigin,FQA_Family,FQA_SciName_withAuthority,FQA_SciName_noAuthority,FQA_Genus,FQA_Species,FQA_Trinomial,FQA_C-Value2020,FQA_C-Value2020_Numeric,FQA_NativeStatus,CONox_Status,AW_WetIndicator,GP_WetIndicator,WMVC_WetIndicator,CNHP_Tracked,CNHP_GRank,CNHP_SRank,CPW_DuckFoodValue,USDA_MajorGroup,USDA_Category,USDA_GrowthHabitSimple,USDA_GrowthHabitFull,USDA_GrowthHabitDuration_Origin,USDA_Duration,USDA_GrowthForm,USDA_GrowthRate,USDA_DroughtTolerance,USDA_ShadeTolerance,USDA_BloomPeriod,Invasiveness,IRank,IRank_Score,FQA_NameOrigin,National_USDASymbol,National_Family,National_SciName_noAuthority,Ack_Family,Ack_SciName_noAuthority,Weber2001_Family,Weber2001_SciName_no Authority,Weber2012_Family,Weber2012_SciName_no Authority,IRank_GName,National_NativeStatus,Ack_NativeStatus,Weber2001_NativeStatus,ITIS_NativeStatus,BONAP_NativeStatus,BONAP_Override,IRank_MixedOrigin,FQA_C-Value2006
3,"ABIES","FQA_SciName","Pinaceae","Abies Mill.","Abies","Abies",,,"5",5,"Native",,,,,,,,,"Gymnosperms","Gymnosperm","Tree","Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"ABBI3","FQA_SciName","Pinaceae","Abies bifolia A. Murray bis","Abies bifolia","Abies","bifolia"," ","5",5,"Native",,"FACU",,"FACU",,,,"NO","Gymnosperms","Gymnosperm","Tree","Tree",,"Perennial","Single Stem","Slow","Low","Tolerant","Late Spring",,,,"Ackerfield 2015","ABLA","Pinaceae","Abies lasiocarpa","Pinaceae","Abies bifolia","Pinaceae","Abies bifolia","Pinaceae","Abies bifolia",,"Native","Native","Native","Native","Native",,,"5"
2,"ABCO","FQA_SciName","Pinaceae","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","Abies concolor","Abies","concolor"," ","5",5,"Native",,,,,,,,"NO","Gymnosperms","Gymnosperm","Tree","Tree",,"Perennial","Single Stem","Slow","Medium","Intermediate","Late Spring",,,,"Ackerfield 2015","ABCO","Pinaceae","Abies concolor","Pinaceae","Abies concolor","Pinaceae","Abies concolor","Pinaceae","Abies concolor",,"Native","Native","Native","Native","Native",,,"5"
7,"ABRON","FQA_SciName","Nyctaginaceae","Abronia Juss.","Abronia","Abronia",,,,,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"ABEL","FQA_SciName","Nyctaginaceae","Abronia elliptica A. Nelson","Abronia elliptica","Abronia","elliptica"," ","4",4,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ABEL","Nyctaginaceae","Abronia elliptica","Nyctaginaceae","Abronia elliptica","Nyctaginaceae","Abronia elliptica","Nyctaginaceae","Abronia elliptica",,"Native","Native","Native","Native","Native",,,"4"
5,"ABFR2","FQA_SciName","Nyctaginaceae","Abronia fragrans Nutt. ex Hook.","Abronia fragrans","Abronia","fragrans"," ","6",6,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ABFR2","Nyctaginaceae","Abronia fragrans","Nyctaginaceae","Abronia fragrans","Nyctaginaceae","Abronia fragrans","Nyctaginaceae","Abronia fragrans",,"Native","Native","Native","Native","Native",,,"6"
6,"ABAR","National_SciName","Nyctaginaceae","Abronia glabrifolia Standl.","Abronia glabrifolia","Abronia","glabrifolia"," ","9",9,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ABAR","Nyctaginaceae","Abronia argillosa","Nyctaginaceae","Abronia glabrifolia","Nyctaginaceae","Abronia argillosa","Nyctaginaceae","Abronia glabrifolia",,"Native","Native","Native","Native","Native",,,"Not Assigned"
8,"ABNAN","FQA_SciName","Nyctaginaceae","Abronia nana S. Watson var. nana","Abronia nana var. nana","Abronia","nana","var. nana","9",9,"Native",,,,,"Yes","G4T3T4","S1","NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ABNAN","Nyctaginaceae","Abronia nana var. nana","Nyctaginaceae","Abronia nana var. nana","Nyctaginaceae","Abronia nana","Nyctaginaceae","Abronia nana",,"Native","Native","Native","Native","Native",,,"Not Assigned"
9,"ABUTI","FQA_SciName","Malvaceae","Abutilon Mill.","Abutilon","Abutilon",,,,,"Unknown",,,,,,,,,"Angiosperms","Dicot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"ABIN","FQA_SciName","Malvaceae","Abutilon incanum (Link) Sweet","Abutilon incanum","Abutilon","incanum"," ","Not Assigned",,"Native",,,,,"Yes","G5?","SH","NO","Angiosperms","Dicot","Shrub","Subshrub, Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","ABIN","Malvaceae","Abutilon incanum","Malvaceae","Abutilon incanum","Malvaceae","Abutilon incanum","Malvaceae","Abutilon incanum",,"Native","Native","Native","Native","Native",,,"Not Assigned"
