MAJORGROUP,SELEMENTID,GNAME,SNAME,SCOMNAME,GRANK,SRANK,ENDEMIC,USESA,COSTATUS,OTHERSTATUS,CNHPSENS,AQDEP,TRACK
Amphibians,22167,Acris blanchardi,Acris blanchardi,Northern Cricket Frog,G5,SH,N,-,SC,"BLM, SWAP Tier 2",N,Y,Fully Tracked
Amphibians,20351,Anaxyrus boreas pop. 1,Anaxyrus boreas pop. 1,Boreal Toad (Southern Rocky Mountain Population),G4T1T2Q,S1,N,-,SE,"SWAP Tier 1, USFS",N,Y,Fully Tracked
Amphibians,18880,Anaxyrus debilis,Anaxyrus debilis,Green Toad,G5,S2,N,-,-,SWAP Tier 2,N,Y,Fully Tracked
Amphibians,19160,Dryophytes arenicolor,Dryophytes arenicolor,Canyon Treefrog,G5,S2,N,-,-,"BLM, SWAP Tier 2",N,Y,Fully Tracked
Amphibians,19180,Gastrophryne olivacea,Gastrophryne olivacea,Western Narrow- mouthed Toad,G5,S1,N,-,SC,SWAP Tier 2,N,Y,Fully Tracked
Amphibians,21637,Lithobates blairi,Lithobates blairi,Plains Leopard Frog,G5,S3,N,-,SC,"BLM, SWAP Tier 2, USFS",N,Y,Fully Tracked
Amphibians,18389,Lithobates pipiens,Lithobates pipiens,Northern Leopard Frog,G5,S3,N,-,SC,"BLM, SWAP Tier 1, USFS",N,Y,Fully Tracked
Amphibians,17095,Lithobates sylvaticus,Lithobates sylvaticus,Wood Frog,G5,S3,N,-,SC,"SWAP Tier 2, USFS",N,Y,Fully Tracked
Amphibians,22335,Scaphiopus couchii,Scaphiopus couchii,Couch's Spadefoot,G5,S1,N,-,SC,SWAP Tier 2,N,Y,Fully Tracked
Amphibians,21598,Spea intermontana,Spea intermontana,Great Basin Spadefoot,G5,S3,N,-,-,"BLM, SWAP Tier 2",N,Y,Fully Tracked
Birds,21151,Accipiter gentilis,Accipiter gentilis,Northern Goshawk,G5,S3B,N,-,-,"BLM, SWAP Tier 2, USFS",Y,N,Watchlisted Only
Birds,24327,Aegolius funereus,Aegolius funereus,Boreal Owl,G5,S2,N,-,-,"SWAP Tier 2, USFS",N,N,Fully Tracked
Birds,16762,Aimophila ruficeps,Aimophila ruficeps,Rufous- crowned Sparrow,G5,S2,N,-,-,-,N,N,Fully Tracked
Birds,23668,Antigone canadensis tabida,Antigone canadensis tabida,Greater Sandhill Crane,G5T5,"S2B, S4N",N,-,SC,SWAP Tier 1,N,Y,Fully Tracked
Birds,21213,Artemisiospiza nevadensis,Artemisiospiza nevadensis,Sagebrush Sparrow,G5,S3B,N,-,-,"SWAP Tier 2, USFS",N,N,Fully Tracked
Birds,17129,Asio flammeus,Asio flammeus,Short- eared Owl,G5,S2B,N,-,-,"SWAP Tier 2, USFS",N,Y,Fully Tracked
Birds,23421,Athene cunicularia,Athene cunicularia,Burrowing Owl,G4,S4B,N,-,ST,"BLM, SWAP Tier 1, USFS",N,N,Watchlisted Only
Birds,22472,Bucephala islandica,Bucephala islandica,Barrow's Goldeneye,G5,S2B,N,-,-,SWAP Tier 2,N,N,Fully Tracked
Birds,19973,Buteo regalis,Buteo regalis,Ferruginous Hawk,G4,"S3B, S4N",N,-,SC,"BLM, SWAP Tier 2, USFS",N,N,Fully Tracked
Birds,21730,Calcarius ornatus,Calcarius ornatus,Chestnut- collared Longspur,G5,S1B,N,-,-,"SWAP Tier 2, USFS",N,N,Fully Tracked
Birds,19767,Catharus fuscescens,Catharus fuscescens,Veery,G5,S3B,N,-,-,SWAP Tier 2,N,Y,Watchlisted Only
Birds,17758,Centrocercus minimus,Centrocercus minimus,Gunnison Sage Grouse,G2G3,S1,N,LT,SC,"BLM, SWAP Tier 1",Y,Y,Fully Tracked
