ECO.SITE,STATE,PHASE,PHASE.NAME,FUNCTIONAL,SYMBOL,LOWER,UPPER
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,PASM,25,80
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,ACHY,35,80
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,POFE,5,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,POSE,5,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,SPCR,5,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,ELEL5,5,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,HECOC8,5,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,KOMA,5,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,LESA4,5,25
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,BOGR2,5,25
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,GRASS,CAGE2,5,25
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,ARLU,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,BASA3,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,CRFE3,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,ERDE6,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,ERST4,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,ERUM,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,HEVI4,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,IPAGA3,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,OXYTR,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,PECA4,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,PEPU7,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,PEST2,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,PHHO,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,PHLO2,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,FORB,SPCO,0,15
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,AMUT,0,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,ARNO4,0,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,ARTRW8,5,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,CEMO2,0,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,CHVIV4,0,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,QUGA,0,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,OPPO,0,40
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,PERA4,0,25
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,PUTR2,0,25
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,RICE,0,25
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,SYOR2,0,25
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,YUGL,0,25
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,ARTRV,0,25
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,ARFR4,0,25
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,SHRUB,FERU,0,20
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,TREE,PIED,150,330
R036XY114CO,REFERENCE,1.1,PJ WOODLAND,TREE,JUOS,50,160
