"National_USDASymbol","National_SciName_noAuthority","Ack_SciName_noAuthority","National_NativeStatus","Invasive","CONox_Status","Invasiveness","IRank","IRank_Score"
"TACA8","Taeniatherum caput-medusae","Taeniatherum caput-medusae","Introduced",TRUE,NA,NA,NA,NA
"CEST","Centaurea stoebe","Centaurea stoebe spp. Micranthos","Introduced",TRUE,NA,NA,NA,NA
"TARA","Tamarix ramosissima","Tamarix chinensis","Introduced",TRUE,NA,NA,NA,NA
"BRHO2","Bromus hordeaceus","Bromus hordaceus ssp. Hordaceus","Introduced",TRUE,NA,NA,NA,NA
"BRTEG","Bromus tectorum var. glabratus","Bromus tectorum","Introduced",TRUE,NA,NA,NA,NA
"ABTH","Abutilon theophrasti","Abutilon theophrasti","Introduced",TRUE,"List C",4,"Medium/Low",4
"ACFI","Achillea filipendulina","Achillea filipendulina","Introduced",FALSE,NA,NA,NA,NA
"ACMI2","Achillea millefolium","Achillea millefolium","Both",FALSE,NA,NA,NA,NA
"ACPT","Achillea ptarmica","Achillea ptarmica","Introduced",FALSE,NA,NA,NA,NA
"ACCA4","Acorus calamus","Acorus calamus","Introduced",FALSE,NA,NA,NA,NA
"ACRE3","Acroptilon repens","Acroptilon repens","Introduced",TRUE,"List B",4,"High/Medium",8
"AECY","Aegilops cylindrica","Aegilops cylindrica","Introduced",TRUE,"List B",4,"Medium/Insignificant",5
"AGCR","Agropyron cristatum","Agropyron cristatum","Introduced",FALSE,NA,NA,NA,NA
"AGFR","Agropyron fragile","Agropyron fragile","Introduced",TRUE,NA,3,"Medium/Insignificant",5
"AGGI","Agrostemma githago","Agrostemma githago","Introduced",FALSE,NA,NA,NA,NA
"AGGI2","Agrostis gigantea","Agrostis gigantea","Introduced",TRUE,NA,3,"Medium/Low",4
"AGST2","Agrostis stolonifera","Agrostis stolonifera","Introduced",TRUE,NA,3,"Medium/Low",4
"AIAL","Ailanthus altissima","Ailanthus altissima","Introduced",TRUE,"Watch List",2,"Medium",6
"ALRO3","Alcea rosea","Alcea rosea","Introduced",FALSE,NA,NA,NA,NA
"ALMA12","Alhagi maurorum","Alhagi maurorum","Introduced",TRUE,"List A",4,"Medium/Low",4
"ALPE4","Alliaria petiolata","Alliaria petiolata","Introduced",TRUE,"Watch List",NA,"High/Medium",8
"ALSA2","Allium sativum","Allium sativum","Introduced",FALSE,NA,NA,NA,NA
"ALSCS","Allium schoenoprasum","Allium schoenoprasum","Both",FALSE,NA,NA,NA,NA
"ALAR","Alopecurus arundinaceus","Alopecurus arundinaceus","Introduced",FALSE,NA,NA,NA,NA
"ALGE2","Alopecurus geniculatus","Alopecurus geniculatus","Introduced",FALSE,NA,NA,NA,NA
"ALPR3","Alopecurus pratensis","Alopecurus pratensis","Introduced",TRUE,NA,3,"Low",3
"ALAL3","Alyssum alyssoides","Alyssum alyssoides","Introduced",TRUE,NA,3,NA,NA
"ALDE","Alyssum desertorum","Alyssum desertorum","Introduced",TRUE,NA,3,NA,NA
"ALMU","Alyssum murale","Alyssum murale","Introduced",FALSE,NA,NA,NA,NA
"ALSI8","Alyssum simplex","Alyssum simplex","Introduced",TRUE,NA,3,NA,NA
"AMAL","Amaranthus albus","Amaranthus albus","Introduced",TRUE,NA,2,NA,NA
"AMBL","Amaranthus blitoides","Amaranthus blitoides","Introduced",FALSE,NA,NA,NA,NA
"AMAR2","Ambrosia artemisiifolia","Ambrosia artemisiifolia","Both",FALSE,NA,NA,NA,NA
"ANAR","Anagallis arvensis","Anagallis arvensis","Introduced",TRUE,NA,NA,"Medium/Insignificant",5
"ANAZ","Anchusa azurea","Anchusa azurea","Introduced",TRUE,NA,NA,"Medium/Insignificant",5
"ANOF","Anchusa officinalis","Anchusa officinalis","Introduced",TRUE,"Watch List",NA,"Medium",6
"ANAR6","Anthemis arvensis","Anthemis arvensis","Introduced",TRUE,NA,4,"Low/Insignificant",2
"ANCO2","Anthemis cotula","Anthemis cotula","Introduced",TRUE,"List B",4,"Medium/Insignificant",5
"ANTI","Anthemis tinctoria","Anthemis tinctoria","Introduced",FALSE,NA,NA,NA,NA
"ANOD","Anthoxanthum odoratum","Anthoxanthum odoratum","Introduced",FALSE,NA,NA,NA,NA
"APIN","Apera interrupta","Apera interrupta","Introduced",TRUE,NA,NA,"Medium/Insignificant",5
"ARLA3","Arctium lappa","Arctium lappa","Introduced",TRUE,NA,3,"Low/Insignificant",2
"ARMI2","Arctium minus","Arctium minus","Introduced",TRUE,"List C",4,"Medium/Insignificant",5
"ARTO","Arctium tomentosum","Arctium tomentosum","Introduced",TRUE,NA,3,NA,NA
"ARSE2","Arenaria serpyllifolia","Arenaria serpyllifolia","Introduced",FALSE,NA,NA,NA,NA
"ARRU4","Armoracia rusticana","Armoracia rusticana","Introduced",TRUE,NA,1,NA,NA
"AREL3","Arrhenatherum elatius","Arrhenatherum elatius","Introduced",TRUE,NA,2,"Low/Insignificant",2
"ARAB2","Artemisia abrotanum","Artemisia abrotanum","Introduced",FALSE,NA,NA,NA,NA
"ARAB3","Artemisia absinthium","Artemisia absinthium","Introduced",TRUE,"List B",4,"Low",3
"ARAN3","Artemisia annua","Artemisia annua","Introduced",TRUE,NA,1,"Medium/Insignificant",5
"ARBIB","Artemisia biennis var. biennis","Artemisia biennis var. biennis","Both",TRUE,NA,2,NA,NA
"ARLU","Artemisia ludoviciana","Artemisia ludoviciana","Both",FALSE,NA,NA,NA,NA
