SYMBOL,PHOTOSYNTHETIC
ACHY,PG-C3
HECO26,PG-C3
KOMA,PG-C3
PSSP6,PG-C3
POSE,PG-C3
ELEL5,PG-C3
POFE,PG-C3
ACLE9,PG-C3
PASM,PG-C3
AGCR,PG-C3
BRIN2,PG-C3
PSJU3,PG-C3
AGROP2,PG-C3
ELTR7,PG-C3
PHPR3,PG-C3
POPR,PG-C3
ACNE9,PG-C3
PODO,PG-C3
STIPA,PG-C3
MEBU,PG-C3
AGDE2,PG-C3
ELCI3,PG-C3
HENE5,PG-C3
DAGL,PG-C3
LEYMU,PG-C3
FEID,PG-C3
PSEUD22,PG-C3
HOJU,PG-C3
PHAR3,PG-C3
THIN6,PG-C3
HESPE11,PG-C3
POBU,PG-C3
BRCI2,PG-C3
ELRE4,PG-C3
FEOV,PG-C3
LETR5,PG-C3
JUBA,PG-C3
PIPTO,PG-C3
GLST,PG-C3
ELMA7,PG-C3
FEAR2,PG-C3
FETH,PG-C3
TRSP2,PG-C3
ELLA3,PG-C3
LUCA2,PG-C3
LESA4,PG-C3
BRMA4,PG-C3
FUUM,PG-C3
LEKI2,PG-C3
BRAN,PG-C3
ACOC3,PG-C3
THPO7,PG-C3
DAPA2,PG-C3
TRCO4,PG-C3
ALAR,PG-C3
ELGL,PG-C3
AGST2,PG-C3
LECI4,PG-C3
ELSU3,PG-C3
NAVI4,PG-C3
PUNU2,PG-C3
HOBR2,PG-C3
PORE,PG-C3
ACPI2,PG-C3
PHAL2,PG-C3
POAL2,PG-C3
LOPR7,PG-C3
BRNO,PG-C3
ELCA4,PG-C3
DACTY,PG-C3
SCAM6,PG-C3
PIFI,PG-C3
FECA4,PG-C3
LOAR10,PG-C3
ACSP12,PG-C3
ALAE,PG-C3
BRPO2,PG-C3
POPA2,PG-C3
ACRO7,PG-C3
PHRAG,PG-C3
POAR3,PG-C3
ACSC11,PG-C3
ELAL7,PG-C3
TRIGL,PG-C3
KOELE,PG-C3
AGGI2,PG-C3
ELHY,PG-C3
PASCO,PG-C3
ELAR7,PG-C3
AGVA,PG-C3
ACTH7,PG-C3
POA,PG-C3
FESTU,PG-C3
LOPE,PG-C3
HECOC8,PG-C3
DACA3,PG-C3
ACHNA,PG-C3
STNE2,PG-C3
ACCO22,PG-C3
ACLE8,PG-C3
POCO,PG-C3
CAMO,PG-C3
BROMU,PG-C3
CHLA5,PG-C3
HECOC26,PG-C3
PHLEU,PG-C3
DASP2,PG-C3
TRMA20,PG-C3
LESI5,PG-C3
PIMI,PG-C3
DAUN,PG-C3
ELCA11,PG-C3
ELYMU,PG-C3
DAIN,PG-C3
ELHI6,PG-C3
ELSM3,PG-C3
LECO12,PG-C3
ELMU3,PG-C3
ELEL,PG-C3
RHGL2,PG-C3
ACAR14,PG-C3
ELVU,PG-C3
PIMI7,PG-C3
PLSA,PG-C3
CACA4,PG-C3
POLE3,PG-C3
ELEL2,PG-C3
VULPI,PG-C3
PIEX4,PG-C3
BRCAPHM,PG-C3
ACPA13,PG-C3
PONE,PG-C3
ACNE10,PG-C3
ELSC4,PG-C3
ELSI,PG-C3
AGROS2,PG-C3
NASSE,PG-C3
ELTR,PG-C3
CANU,PG-C3
POCU3,PG-C3
ACSW3,PG-C3
DANTH,PG-C3
STGR13,PG-C3
ACWE3,PG-C3
BRLA6,PG-C3
PLJA,PG-C4
SPAI,PG-C4
BOER4,PG-C4
PAOB,PG-C4
BOGR2,PG-C4
SPCR,PG-C4
MUPU2,PG-C4
PLRI3,PG-C4
SPNE,PG-C4
MUTO2,PG-C4
MUTO,PG-C4
BOCU,PG-C4
TRMU,PG-C4
DISTI,PG-C4
MUPO2,PG-C4
SPCO4,PG-C4
MUAS,PG-C4
BOHI2,PG-C4
ENDE,PG-C4
DISP,PG-C4
LYPH,PG-C4
BUDA,PG-C4
MURI,PG-C4
SPFL2,PG-C4
MUMO,PG-C4
PAVI2,PG-C4
DAPU7,PG-C4
SCBR2,PG-C4
BLTR,PG-C4
SPWR2,PG-C4
ERSE,PG-C4
MUWR,PG-C4
PLMU3,PG-C4
CYCI,PG-C4
HIBE,PG-C4
SPGI,PG-C4
MUAR2,PG-C4
PLEUR12,PG-C4
MURI2,PG-C4
ERLE,PG-C4
ANDRO2,PG-C4
SPORO,PG-C4
MUHLE,PG-C4
ARPA9,PG-C4
ARIST,PG-C4
TRIDE,PG-C4
SCSC,PG-C4
TRIPO,PG-C4
MUPA2,PG-C4
SPCO16,PG-C4
ARPU8,PG-C4
SONU2,PG-C4
ERAV,PG-C4
MUNRO3,PG-C4
MUSP4,PG-C4
BLKI,PG-C4
HECO10,PG-C4
ERPI5,PG-C4
ERION,PG-C4
PASE5,PG-C4
SPGR,PG-C4
BODA2,PG-C4
ERAGR,PG-C4
BORE2,PG-C4
ERSU,PG-C4
REFL,PG-C4
ERPA,PG-C4
ERER,PG-C4
MUAN,PG-C4
ARDI5,PG-C4
ELELE,PG-C3
ARPUL,PG-C4
CAGE2,PG-C3
BOGR,PG-C4
