USDA Species Code,Photosynthetic Group
ACHY,C3_Perennial_Graminoid
HECO26,C3_Perennial_Graminoid
KOMA,C3_Perennial_Graminoid
PSSP6,C3_Perennial_Graminoid
POSE,C3_Perennial_Graminoid
ELEL5,C3_Perennial_Graminoid
POFE,C3_Perennial_Graminoid
ACLE9,C3_Perennial_Graminoid
PASM,C3_Perennial_Graminoid
AGCR,C3_Perennial_Graminoid
BRIN2,C3_Perennial_Graminoid
PSJU3,C3_Perennial_Graminoid
AGROP2,C3_Perennial_Graminoid
ELTR7,C3_Perennial_Graminoid
PHPR3,C3_Perennial_Graminoid
POPR,C3_Perennial_Graminoid
ACNE9,C3_Perennial_Graminoid
PODO,C3_Perennial_Graminoid
STIPA,C3_Perennial_Graminoid
MEBU,C3_Perennial_Graminoid
AGDE2,C3_Perennial_Graminoid
ELCI3,C3_Perennial_Graminoid
HENE5,C3_Perennial_Graminoid
DAGL,C3_Perennial_Graminoid
LEYMU,C3_Perennial_Graminoid
FEID,C3_Perennial_Graminoid
PSEUD22,C3_Perennial_Graminoid
HOJU,C3_Perennial_Graminoid
PHAR3,C3_Perennial_Graminoid
THIN6,C3_Perennial_Graminoid
HESPE11,C3_Perennial_Graminoid
POBU,C3_Perennial_Graminoid
BRCI2,C3_Perennial_Graminoid
ELRE4,C3_Perennial_Graminoid
FEOV,C3_Perennial_Graminoid
LETR5,C3_Perennial_Graminoid
JUBA,C3_Perennial_Graminoid
PIPTO,C3_Perennial_Graminoid
GLST,C3_Perennial_Graminoid
ELMA7,C3_Perennial_Graminoid
FEAR2,C3_Perennial_Graminoid
FETH,C3_Perennial_Graminoid
TRSP2,C3_Perennial_Graminoid
ELLA3,C3_Perennial_Graminoid
LUCA2,C3_Perennial_Graminoid
LESA4,C3_Perennial_Graminoid
BRMA4,C3_Perennial_Graminoid
FUUM,C3_Perennial_Graminoid
LEKI2,C3_Perennial_Graminoid
BRAN,C3_Perennial_Graminoid
ACOC3,C3_Perennial_Graminoid
THPO7,C3_Perennial_Graminoid
DAPA2,C3_Perennial_Graminoid
TRCO4,C3_Perennial_Graminoid
ALAR,C3_Perennial_Graminoid
ELGL,C3_Perennial_Graminoid
AGST2,C3_Perennial_Graminoid
LECI4,C3_Perennial_Graminoid
ELSU3,C3_Perennial_Graminoid
NAVI4,C3_Perennial_Graminoid
PUNU2,C3_Perennial_Graminoid
HOBR2,C3_Perennial_Graminoid
PORE,C3_Perennial_Graminoid
ACPI2,C3_Perennial_Graminoid
PHAL2,C3_Perennial_Graminoid
POAL2,C3_Perennial_Graminoid
LOPR7,C3_Perennial_Graminoid
BRNO,C3_Perennial_Graminoid
ELCA4,C3_Perennial_Graminoid
DACTY,C3_Perennial_Graminoid
SCAM6,C3_Perennial_Graminoid
PIFI,C3_Perennial_Graminoid
FECA4,C3_Perennial_Graminoid
LOAR10,C3_Perennial_Graminoid
ACSP12,C3_Perennial_Graminoid
ALAE,C3_Perennial_Graminoid
BRPO2,C3_Perennial_Graminoid
POPA2,C3_Perennial_Graminoid
ACRO7,C3_Perennial_Graminoid
PHRAG,C3_Perennial_Graminoid
POAR3,C3_Perennial_Graminoid
ACSC11,C3_Perennial_Graminoid
ELAL7,C3_Perennial_Graminoid
TRIGL,C3_Perennial_Graminoid
KOELE,C3_Perennial_Graminoid
AGGI2,C3_Perennial_Graminoid
ELHY,C3_Perennial_Graminoid
PASCO,C3_Perennial_Graminoid
ELAR7,C3_Perennial_Graminoid
AGVA,C3_Perennial_Graminoid
ACTH7,C3_Perennial_Graminoid
POA,C3_Perennial_Graminoid
FESTU,C3_Perennial_Graminoid
LOPE,C3_Perennial_Graminoid
HECOC8,C3_Perennial_Graminoid
DACA3,C3_Perennial_Graminoid
ACHNA,C3_Perennial_Graminoid
STNE2,C3_Perennial_Graminoid
ACCO22,C3_Perennial_Graminoid
ACLE8,C3_Perennial_Graminoid
POCO,C3_Perennial_Graminoid
CAMO,C3_Perennial_Graminoid
