"SYMBOL","RESPROUT","BINOMIAL_NAT","BINOMIAL_ACKER"
"AMAL2","","Amelanchier alnifolia","Amelanchier alnifolia"
"AMUT","","Amelanchier utahensis","Amelanchier alnifolia var. utahensis"
"ARPA6","","Arctostaphylos patula","Arctostaphylos patula"
"ARUV","","Arctostaphylos uva-ursi","Arctostaphylos uva-ursi"
"ARAR8","","Artemisia arbuscula","Artemisia arbuscula"
"ARARA","","Artemisia arbuscula ssp. arbuscula","Artemisia arbuscula ssp. arbuscula"
"ARARL","","Artemisia arbuscula ssp. longiloba","Artemisia arbuscula ssp. longiloba"
"ARCA13","","Artemisia cana","Artemisia cana"
"ARFR4","","Artemisia frigida","Artemisia frigida"
"ARNO4","","Artemisia nova","Artemisia nova"
"PIDE4","","Picrothamnus desertorum","Artemisia spinescens"
"ARTRT","","Artemisia tridentata ssp. tridentata","Artemisia tridentata var. tridentata"
"ARTRV","","Artemisia tridentata ssp. vaseyana","Artemisia tridentata var. vaseyana"
"ARTRW8","","Artemisia tridentata ssp. wyomingensis","Artemisia tridentata var. wyomingensis"
"ARTRT2","","Artemisia tripartita ssp. tripartita","Artemisia tripartita var. tripartita"
"ATCA2","","Atriplex canescens","Atriplex canescens"
"ATCO","","Atriplex confertifolia","Atriplex confertifolia"
"ATGA","","Atriplex gardneri","Atriplex gardneri"
"ATCO4","","Atriplex corrugata","Atriplex corrugata"
"BEFE","","Berberis fendleri","Berberis fendleri"
"MAFR3","","Mahonia fremontii","Berberis fremontii"
"MARE11","","Mahonia repens","Berberis repens"
"BRCA3","","Brickellia californica","Brickellia californica"
"BRLO","","Brickellia longifolia","Brickellia longifolia"
"BRMIS","","Brickellia microphylla var. scabra","Brickellia microphylla var. scabra"
"CEFE","","Ceanothus fendleri","Ceanothus fendleri"
"CELE3","","Cercocarpus ledifolius","Cercocarpus ledifolius"
"CEMO2","","Cercocarpus montanus","Cercocarpus montanus"
"CHDE2","","Chrysothamnus depressus","Chrysothamnus depressus"
"CHGR6","","Chrysothamnus greenei","Chrysothamnus greenei"
"CHLI3","","Chrysothamnus linifolius","Chrysothamnus linifolius"
"CHVA2","","Chrysothamnus vaseyi","Chrysothamnus vaseyi"
"CHVI8","","Chrysothamnus viscidiflorus","Chrysothamnus viscidiflorus"
"CORA","","Coleogyne ramosissima","Coleogyne ramosissima"
"COSES","","Cornus sericea ssp. sericea","Cornus sericea ssp. sericea"
"EPTO","","Ephedra torreyana","Ephedra torreyana"
"EPVI","","Ephedra viridis","Ephedra viridis"
"EPVI","","Ephedra viridis","Ephedra viridis var. viridis"
"ERDID","","Ericameria discoidea var. discoidea","Ericameria discoidea var. discoidea"
"ERNA10","","Ericameria nauseosa","Ericameria nauseosa"
"ERPA30","","Ericameria parryi","Ericameria parryi"
"ERCO14","","Eriogonum corymbosum","Eriogonum corymbosum"
"ERMI4","","Eriogonum microthecum","Eriogonum microthecum"
"FERU","","Fendlera rupicola","Fendlera rupicola"
"FOPU2","","Forestiera pubescens","Forestiera pubescens"
"FRAN2","","Fraxinus anomala","Fraxinus anomala"
"GRSP","","Grayia spinosa","Grayia spinosa"
"GUMI","","Gutierrezia microcephala","Gutierrezia microcephala"
"GUSA2","","Gutierrezia sarothrae","Gutierrezia sarothrae"
"HEMUM","","Heliomeris multiflora var. multiflora","Heliomeris multiflora var. multiflora"
"HEVIN","","Heterotheca villosa var. nana","Heterotheca villosa var. nana"
"HODU","","Holodiscus dumosus","Holodiscus dumosus"
"BAAM4","","Bassia americana","Kochia americana"
"KRLA2","","Krascheninnikovia lanata","Krascheninnikovia lanata"
"LOIN5","","Lonicera involucrata","Lonicera involucrata"
"MILI3","","Mirabilis linearis","Mirabilis lanceolata"
"MILI3","","Mirabilis linearis","Mirabilis linearis var. linearis"
"MILI3","","Mirabilis linearis","Mirabilis linearis var. subhispida"
"DAFR6","","Dasiphora fruticosa","Potentilla fruticosa"
"PUST","","Purshia stansburiana","Purshia stansburiana"
"PUTR2","","Purshia tridentata","Purshia tridentata"
"QUGA","","Quercus gambelii","Quercus gambelii"
"RHTR","","Rhus trilobata","Rhus trilobata"
"ROWO","","Rosa woodsii","Rosa woodsii"
"SAVE4","","Sarcobatus vermiculatus","Sarcobatus vermiculatus"
"SYLO","","Symphoricarpos longiflorus","Symphoricarpos longiflorus"
"SYRO","","Symphoricarpos rotundifolius","Symphoricarpos rotundifolius"
"TECA2","","Tetradymia canescens","Tetradymia canescens"
"TENU2","","Tetradymia nuttallii","Tetradymia nuttallii"
"TESP2","","Tetradymia spinosa","Tetradymia spinosa"
"TORY","","Toxicodendron rydbergii","Toxicodendron rydbergii"
"MACO13","","Machaeranthera coloradoensis","Xanthisma coloradoense"
