"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"1","Abies lasiocarpa",121839,398199154.055168,415749812.348539,4086958421.72208,408695842.172208
"2","Abronia argillosa",12,246698.109772664,386201.199777962,3879254.2012258,366101.610094851
"3","Acer negundo",36818,1179533797.04694,1204050917.23646,12040509172.3646,1202959599.59879
"4","Achnatherum hymenoides",5088,533516980.036117,577197431.035639,5517836614.91744,549714828.724172
"5","Achnatherum nelsonii",911,312879522.79996,325244598.931286,3217145904.85379,316754138.869929
"6","Aliciella leptomeria",173,96514162.1374681,109661651.41644,1096616514.1644,108858794.005649
"7","Allium acuminatum",518,180364004.346354,186743082.040753,1863318055.25477,186097386.172459
"8","Allium geyeri",592,212260790.328694,256511027.261785,2565110272.61785,254516183.795185
"9","Allium macropetalum",256,64828885.8888091,69821008.7381015,698210250.88885,69142271.8896518
"10","Almutaster pauciflorus",156,445987106.057362,467898897.229978,4678988972.29978,467490995.647313
"11","Amaranthus retroflexus",41,128566338.680737,143496320.208244,1424056967.03267,142405696.703267
"12","Ambrosia tomentosa",123,63050738.6444074,77119080.6973678,771236056.389756,74970880.6915141
"13","Androsace occidentalis",607,508419007.699468,572447500.582261,5705643809.97953,570555902.831212
"14","Androsace septentrionalis",1668,1987517956.48363,2165157129.69618,19915499765.8354,1991549976.58354
"15","Antennaria parvifolia",2738,532443392.837274,693733359.885681,6937333598.85681,692702266.019509
"16","Antennaria rosea",2869,1323414253.89829,1439246629.49274,14123766023.65,1412376602.365
"17","Antennaria rosulata",302,39675759.465883,42463963.1333957,424647135.529679,42276397.8147619
"18","Aquilegia coerulea",256,65128753.4710547,69705273.2638432,697314167.114688,69512101.1186593
"19","Aquilegia elegantula",195,72278198.0317448,74376470.2945171,743878755.755968,74345653.3895038
"20","Arabis gunnisoniana",2,NA,NA,0,NA
"21","Arabis lignifera",35,131109710.409917,159141341.079505,1593325642.30801,149040539.523787
"22","Arabis selbyi",13,4506078.64438899,6422017.89050666,64254795.3842751,6181531.12325109
"23","Arctostaphylos patula",1272,163482567.903102,170620125.760378,1701999587.3306,170199958.73306
"24","Arctostaphylos uva-ursi",4190,1989508578.94781,2282094081.80321,22726528180.0384,2271888120.58392
"25","Aristida purpurea",4845,1042206521.98534,1068110749.95603,10681107499.5603,1065980724.31851
"26","Artemisia arbuscula",1289,152211338.189069,183381424.091215,1833814240.91215,183061084.007953
"27","Artemisia bigelovii",458,72919999.4609998,77970560.248771,780024742.881852,77054465.4568623
"28","Artemisia campestris",1656,1886875005.57521,2040750353.20245,20405804603.2147,2040069341.97207
"29","Artemisia cana",782,261186303.188671,268136476.720934,2681364767.20934,267766458.608859
"30","Artemisia carruthii",538,146299155.339053,204955711.419502,2052633895.60042,198650231.116317
"31","Artemisia dracunculus",1674,740030775.98188,756672728.665399,7552491125.93779,754095791.666595
"32","Artemisia frigida",2680,805985224.998674,958515953.976955,9585066913.63577,958479521.821381
"33","Artemisia ludoviciana",5270,1514876883.59639,1543888885.53988,15438888855.3988,1543881880.49636
"34","Artemisia tridentata",15347,319881478.024451,333114178.826402,3331141788.26402,333095524.034415
"35","Asclepias subverticillata",660,263885102.181182,339522808.58846,3395235474.2017,335752603.623038
"36","Astragalus ceramicus",250,141863008.940274,154454536.801426,1544531755.38783,154453175.538783
"37","Astragalus coltonii",111,11775542.1250337,12464730.0624564,124737098.372115,12364861.1700593
"38","Astragalus flavus",279,40455128.4350892,48121329.4759829,481189594.602281,47654231.375548
"39","Astragalus flexuosus",447,214706700.579797,225880028.788159,2251229068.2733,224929896.117809
"40","Astragalus lentiginosus",2993,260701259.570189,294839683.051086,2946364844.84898,294080462.753036
"41","Astragalus linifolius",8,NA,NA,2567471.04654482,NA
"42","Astragalus missouriensis",741,233737478.429069,239203266.386998,2392032663.86998,239032018.485681
"43","Astragalus mollissimus",827,258484466.870149,264880640.4214,2648806404.214,264673072.706781
"44","Astragalus musiniensis",41,2732581.88267134,3192363.51520419,31923949.4215653,3184542.45624307
"45","Astragalus pattersonii",104,27094683.7437377,29821104.2036806,298211042.036806,29789125.7355097
"46","Astragalus rafaelensis",24,1402015.57583029,2211860.78407734,22118607.8407734,2178691.7558267
"47","Astragalus scopulorum",122,32076684.6155063,34564822.5554257,345648228.449459,34432815.7669432
"48","Astragalus wingatanus",135,18828925.9931614,22030037.3460357,220300373.460357,22018309.6022241
"49","Atriplex corrugata",252,20959534.4203029,21290013.3000204,212993505.795212,21143579.9311597
"50","Bahia dissecta",400,80699663.9001921,86760900.1993767,866962504.819283,86641403.994076
