SYMBOL,LIFECYCLE,NATIVITY,BINOMIAL_NAT
PELI2,PERENNIAL,NATIVE,Penstemon linardioides
PENST,PERENNIAL,Native,Penstemon 
ERDE6,ANNUAL,NATIVE,Eriogonum deflexum
ERST4,PERENNIAL,NATIVE,Eriogonum strictum
OXYTR,PERENNIAL,NATIVE,Oxytropis
PEPU7,PERENNIAL,NATIVE,Petradoria pumila
ERIOG,ANNUAL-PERENNIAL,NATIVE,Eriogonum
LOMAT,PERENNIAL,Native,Lomatium
OENOT,ANNUAL-PERENNIAL,Native,Oenothera
XYLOR,PERENNIAL,NATIVE,Xylorhiza
ASTER,ANNUAL-PERENNIAL,Native,Aster
ASTRA,ANNUAL-PERENNIAL,NATIVE,Astragalus
PHCR,ANNUAL,NATIVE,Phacelia crenulata
BRASS2,ANNUAL-PERENNIAL,UNKNOWN,Brassica
DESCU,ANNUAL-PERENNIAL,Unknown,Descurainia
LUPIN,ANNUAL-PERENNIAL,NATIVE,Lupinus
ERIGE2,ANNUAL-PERENNIAL,Native,Erigeron
CASTI2,ANNUAL-PERENNIAL,Native,Castilleja
ALLIU,PERENNIAL,NATIVE,Allium
COUM,PERENNIAL,NATIVE,Comandra umbellata
HYMEN7,ANNUAL-PERENNIAL,NATIVE,Hymenoxys
SENEC,ANNUAL-PERENNIAL,NATIVE,Senecio
ARHO2,PERENNIAL,NATIVE,Arabis holboellii
CRFL6,PERENNIAL,NATIVE,Cryptantha flavoculata
SYCHC,PERENNIAL,NATIVE,Symphyotrichum chilense
CRFL4,ANNUAL,NATIVE,Cryptantha flaccida
ACMIO,PERENNIAL,NATIVE,Achillea millefolium
CRYPT,ANNUAL-PERENNIAL,NATIVE,Cryptantha
CRFL5,PERENNIAL,NATIVE,Cryptantha flava
CHHU2,PERENNIAL,NATIVE,Chrysothamnus humilis
MACA2,ANNUAL-PERENNIAL,NATIVE,Machaeranthera canescens
PLIN7,PERENNIAL,NATIVE,Platyschkuhria integrifolia
VIAM,PERENNIAL,NATIVE,Vicia americana
PECR5,PERENNIAL,NATIVE,Penstemon crandallii
CAAND,PERENNIAL,NATIVE,Castilleja angustifolia var. dubia
LODI,PERENNIAL,NATIVE,Lomatium dissectum
PLANT,ANNUAL-PERENNIAL,UNKNOWN,Plantago
SYER,PERENNIAL,NATIVE,Symphyotrichum ericoides
POTEN,ANNUAL-PERENNIAL,UNKNOWN,Potentilla
MARAR,PERENNIAL,NATIVE,Maianthemum racemosum
ASCLE,PERENNIAL,NATIVE,Asclepias
DEPI,ANNUAL-PERENNIAL,NATIVE,Descurainia pinnata
LEBA,PERENNIAL,NATIVE,Lepidium barnebyanum
LOGR,PERENNIAL,NATIVE,Lomatium grayi
PEGO2,PERENNIAL,NATIVE,Penstemon goodrichii
CRCI3,PERENNIAL,NATIVE,Cryptantha cinerea
MAGR2,PERENNIAL,NATIVE,Machaeranthera grindelioides
ARHO4,PERENNIAL,NATIVE,Arenaria hookeri
CAAN7,PERENNIAL,NATIVE,Castilleja angustifolia
PEPA5,PERENNIAL,NATIVE,Pediocatus paradinei
CANU2,PERENNIAL,NATIVE,Calochortus nudus
ABVI,ANNUAL,NATIVE,Abronia villosa
SCSCS5,PERENNIAL,NATIVE,Scabrethia scabra
CRHU2,PERENNIAL,NATIVE,Cryptantha humilis
ASHA3,PERENNIAL,NATIVE,Astragalus hamiltonii
DAFL,PERENNIAL,NATIVE,Dalea flavescens
ACNA2,PERENNIAL,NATIVE,Acourtia nana
ISOCO,PERENNIAL,NATIVE,Isocoma
ISPL,PERENNIAL,NATIVE,Isocoma pluriflora
SUSU,PERENNIAL,NATIVE,Suaeda suffrutescens
TIQUI,ANNUAL-PERENNIAL,Native,Tiquilia
RUTR2,PERENNIAL,NATIVE,Rudbeckia triloba
PHNE5,PERENNIAL,NATIVE,Physaria newberryi
LEMOJ,PERENNIAL,NATIVE,Lepidium montanum var. jonesii
DELPH,PERENNIAL,Native,Delphinium
GILIA,ANNUAL-PERENNIAL,Native,Gilia
PRIMU,ANNUAL-PERENNIAL,Native,Primula
STAR10,PERENNIAL,NATIVE,Stenotus armerioides
MENTZ,ANNUAL-PERENNIAL,NATIVE,Mentzelia
TOWNS,ANNUAL-PERENNIAL,Native,Townsendia
LEFR2,PERENNIAL,NATIVE,Lepidium fremontii
SPGR2,PERENNIAL,NATIVE,Sphaeralcea
TILA6,PERENNIAL,NATIVE,Tiquilia latior
ALLIUM,PERENNIAL,NATIVE,Allium
