SYMBOL_AIM,SYMBOL_USDA,BINOMIAL_NAT,BINOMIAL_ACK,GROWTHHABIT,GROWTHHABITSUB,DURATION,NATIVITY,INVASIVE,PHOTOSYNTHETIC,RESPROUT,FUNCTIONAL
OPUNT,OPUNT,Opuntia,Opuntia,NONWOODY,SUCCULENT,PERENNIAL,TRUE,FALSE,CAM,NA,NA
SALSO,SALSO,Salsosa,Salsosa,NONWOODY,FORB,ANNUAL,FALSE,TRUE,NA,NA,NA
ERIGE2,ERIGE2,Erigeron,Erigeron,NONWOODY,FORB,ANNUAL-PERENNIAL,NA,NA,NA,NA,NA
LEPID,LEPID,Lepidium,Lepidium,NONWOODY,FORB,ANNUAL-PERENNIAL,NA,NA,NA,NA,NA
ASTRA,ASTRA,Astragalus,Astragalus,NONWOODY,FORB,ANNUAL-PERENNIAL,TRUE,FALSE,NA,NA,NA
RIBES,RIBES,Ribes,Ribes,WOODY,SHRUB,PERENNIAL,TRUE,FALSE,NA,NA,NA
ANAL4,ANAL4,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
POTEN,POTEN,Potentilla,Potentilla,NA,NA,NA,NA,FALSE,NA,NA,NA
CERCO,CERCO,Cercocarpus,Cercocarpus,WOODY,SHRUB,PERENNIAL,TRUE,FALSE,NA,NA,NA
ERRA,ERRA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
CHRYS9,CHRYS9,Chrysothamnus,Chrysothamnus,WOODY,SHRUB,PERENNIAL,TRUE,FALSE,NA,NA,NA
