"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"1","Abronia elliptica",280,50835528.900633,52379363.8552633,523793638.552633,52337111.0413874
"2","Abutilon parvulum",229,102631838.106786,118328932.01948,1183289320.1948,118328932.01948
"3","Achnatherum lettermanii",370,159026229.308317,168458833.345875,1684588578.70751,166378447.450271
"4","Achnatherum robustum",179,104989408.985306,118696659.550484,1183474673.7036,117473717.646321
"5","Achnatherum scribneri",73,20999944.1344105,26612488.9320989,266124889.320989,26386034.1548073
"6","Actaea rubra",3182,1697986648.5658,1722923993.98758,17225106079.2264,1722510607.92264
"7","Agrostis exarata",2659,92238480.0684237,96189885.6910438,931678791.571557,93169314.0758174
"8","Agrostis humilis",199,295193167.690237,305372430.699386,3053723436.83323,304159473.410067
"9","Agrostis scabra",4322,202210057.114134,2509975376.43321,2440620263.52852,244754459.09442
"10","Agrostis variabilis",596,289799750.412172,302335149.620561,3022937892.25865,301918552.670896
"11","Aletes humilis",42,299285.81763647,332035.101594656,3320446.60082315,331733.27994794
"12","Aliciella mcvickerae",12,10087375.3939684,11716665.5784767,117166655.784767,11602192.8915592
"13","Aliciella pinnatifida",159,23902963.3001635,34038279.0718493,340403205.827969,33743644.581974
"14","Allionia incarnata",1457,2357322346.62946,2511918568.17523,25116626841.677,2509158483.90206
"15","Allium textile",729,233293056.986969,253897109.609109,2538689361.5118,253524146.961842
"16","Amaranthus hybridus",1184,2399577823.08958,2644068862.74249,25927011559.5495,2579069642.6779
"17","Amaranthus powellii",379,885358745.709735,908689469.819361,9025750289.05859,901167903.278633
"18","Ambrosia confertiflora",1084,311882364.601506,324425421.638401,3244254216.38401,324093328.770712
"19","Ambrosia linearis",72,1217623.40207778,1446806.3330457,14468086.6437724,1445631.4701338
"20","Amelanchier alnifolia",6052,1211624111.1228,1262511702.98454,12330776310.4932,1233077631.04932
"21","Amelanchier utahensis",2016,235633370.346593,239628085.462959,2396280854.62959,239537515.627517
"22","Ammannia robusta",302,871340250.953241,917826900.451852,8999230907.6596,899767215.889463
"23","Amorpha canescens",965,221741969.490682,247804315.416345,2478043995.9942,247570762.97958
"24","Amorpha nana",182,104177013.558045,119063643.983131,1191022934.11659,118741489.705421
"25","Amsonia jonesii",48,13780792.7515144,14261404.7215353,142614047.215353,14200597.3963773
"26","Anemone canadensis",1215,785444857.976105,813718951.004894,8125613567.42638,812415163.251807
"27","Anemopsis californica",790,406774328.164736,420223131.890905,4202231318.90905,420223131.890905
"28","Antennaria anaphaloides",524,152256219.42905,169206245.347714,1692062453.47714,169111047.961935
